"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75","TC-NNORDER-002: 查询DW订单信息成功","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderDwOrder","test_nnorder_case","",""
"","32","TC-AS-008: 获取客户端未读消息数成功","cases.assist","2026-06-01","passed","2026-06-01","TestAssistMessage","test_assist_case","",""
"","39","TC-NNORDER-001: 查询账户余额成功","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderBalance","test_nnorder_case","",""
"","48","TC-FR-001: 获取好友申请列表成功","cases.friend","2026-06-01","passed","2026-06-01","TestFriendApply","test_friend_case","",""
"","36","TC-CR-005: 缺少userId字段","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendMissingField","test_click_recommend_case","",""
"验证手机号格式错误时登录失败","710","TC-LOGIN-005: 手机号格式错误登录失败","cases.user","2026-06-01","passed","2026-06-01","TestRegisterLogin","test_user_case","",""
"","30","TC-COMMON-001: 获取字典项列表成功","cases.common","2026-06-01","passed","2026-06-01","TestCommonDict","test_common_case","",""
"","709","TC-CH-007/008: 加入退出个人服务器生命周期","cases.channel","2026-06-01","passed","2026-06-01","TestChannelBusiness","test_channel_case","",""
"","32","TC-IM-003: 获取历史@消息列表成功","cases.im","2026-06-01","passed","2026-06-01","TestImMessage","test_im_case","",""
"","30","TC-CR-007: 缺少targetId字段","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendMissingField","test_click_recommend_case","",""
"","2145","TC-USER-LOGOUT-001: 用户登出成功","cases.user","2026-06-01","passed","2026-06-01","TestUserLogout","test_user_case","",""
"验证 dashen token 可以正常使用（调用需要鉴权的接口）","3495","验证 dashen token 可用 - 查询用户信息","cases.user","2026-06-01","passed","2026-06-01","","test_login_case","",""
"语音大厅：创建 → 修改名称和公告 → 查询验证 → 删除","1051","【场景】TC-VOICE-007~010 创建→修改→查询验证→删除语音大厅","cases.nnchannel","2026-06-01","passed","2026-06-01","TestVoiceHallManagement","test_community_flow_case","",""
"","35","TC-WAN-014: 上报UV详情成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanUvCollect","test_wan_case","",""
"","31","TC-RK-003: 查询用户是否在黑名单成功","cases.risk","2026-06-01","passed","2026-06-01","TestRiskBlacklist","test_risk_case","",""
"","31","TC-LOGIN-004: 手机号为空登录失败","cases.user","2026-06-01","passed","2026-06-01","TestRegisterLogin","test_login_case","",""
"验证修改为隐身状态(6)后，各接口返回正确","690","【场景】SC-STATUS-003: 修改为隐身状态并验证","cases.wan","2026-06-01","passed","2026-06-01","TestUserStatusChange","test_user_status_flow_case","",""
"","32","TC-OP-009: 按服务器类型查询成功","cases.operation","2026-06-01","passed","2026-06-01","TestOperationGame","test_operation_case","",""
"","689","TC-IM-001: 获取会话列表成功","cases.im","2026-06-01","passed","2026-06-01","TestImSession","test_im_case","",""
"查询个人资料完成度","36","【场景】TC-PROFILE-001 查询个人资料完成度","cases.nnchannel","2026-06-01","passed","2026-06-01","TestProfileManagement","test_community_flow_case","",""
"","41","TC-WAN-001: 校验wan用户信息成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanUserValidation","test_wan_case","",""
"","32","TC-WAN-003: 校验用户消息状态成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanUserValidation","test_wan_case","",""
"","31","TC-NNORDER-006: 创建DW订单失败-缺少必要参数","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderCreateOrder","test_nnorder_case","",""
"","43","TC-FR-003: 好友列表分页查询","cases.friend","2026-06-01","passed","2026-06-01","TestFriendList","test_friend_case","",""
"","32","TC-CR-013: duration为负数","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendBoundary","test_click_recommend_case","",""
"上传照片 → 清空相册","32","【场景】TC-PROFILE-002~003 上传照片→清空相册","cases.nnchannel","2026-06-01","passed","2026-06-01","TestProfileManagement","test_community_flow_case","",""
"验证修改为空闲状态(3)后，各接口返回正确","722","【场景】SC-STATUS-001: 修改为空闲状态并验证","cases.wan","2026-06-01","passed","2026-06-01","TestUserStatusChange","test_user_status_flow_case","",""
"","30","TC-RP-001: 校验用户信息成功","cases.report","2026-06-01","passed","2026-06-01","TestReportUserValidate","test_report_case","",""
"","29","TC-AS-007: 查询广告信息成功","cases.assist","2026-06-01","passed","2026-06-01","TestAssistBanner","test_assist_case","",""
"验证 user token 可以正常使用","2862","验证 user token 可用 - 查询用户信息","cases.user","2026-06-01","passed","2026-06-01","","test_login_case","",""
"","669","TC-AS-001: 查询新手引导成功","cases.assist","2026-06-01","passed","2026-06-01","TestAssistGuide","test_assist_case","",""
"验证手机号格式错误时登录失败","760","TC-LOGIN-005: 手机号格式错误登录失败","cases.user","2026-06-01","passed","2026-06-01","TestRegisterLogin","test_user_case","",""
"","40","TC-OP-008: 查询游戏名称信息成功","cases.operation","2026-06-01","passed","2026-06-01","TestOperationGame","test_operation_case","",""
"验证正常登录返回token和用户信息","3380","TC-LOGIN-001: 正确手机号+验证码登录成功","cases.user","2026-06-01","passed","2026-06-01","TestRegisterLogin","test_user_case","",""
"","33","TC-PV-002: 获取用户自定义消息成功","cases.privilege","2026-06-01","passed","2026-06-01","TestPrivilegeNote","test_privilege_case","",""
"","29","TC-NNORDER-004: 查询是否存在进行中分钟单成功","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderDwOrder","test_nnorder_case","",""
"","32","TC-WAN-012: 发送回复消息成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanReplyInfo","test_wan_case","",""
"","32","TC-CR-004: 不同游戏ID场景","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendSuccess","test_click_recommend_case","",""
"","31","TC-CR-009: recommendReq为空对象","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendEmptyReq","test_click_recommend_case","",""
"进入语音房验证","180","【场景】TC-CH-GEN-001 进入语音房验证成功","cases.nnchannel","2026-06-01","passed","2026-06-01","TestChannelGeneralOps","test_community_flow_case","",""
"","32","TC-CH-002: 获取麦克风状态成功","cases.channel","2026-06-01","passed","2026-06-01","TestChannelBusiness","test_channel_case","",""
"","50","TC-AS-002: 按位置获取页面字典成功","cases.assist","2026-06-01","passed","2026-06-01","TestAssistGuide","test_assist_case","",""
"","36","TC-WAN-002: 校验旺用户信息-无效用户","cases.wan","2026-06-01","passed","2026-06-01","TestWanUserValidation","test_wan_case","",""
"验证手机号为空时登录失败","668","TC-LOGIN-004: 手机号为空登录失败","cases.user","2026-06-01","passed","2026-06-01","TestRegisterLogin","test_user_case","",""
"","39","TC-LS-002: 负载均衡字段完整性","cases.lsb","2026-06-01","passed","2026-06-01","TestLsbLoadbalance","test_lsb_case","",""
"","32","TC-CR-006: 缺少gameId字段","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendMissingField","test_click_recommend_case","",""
"","49","TC-USER-BALANCE-001: 查询用户账户余额成功","cases.user","2026-06-01","passed","2026-06-01","TestUserAccountBalance","test_user_case","",""
"","63","TC-PV-009: 获取礼物任务连续排行成功","cases.privilege","2026-06-01","passed","2026-06-01","TestPrivilegeGiftTask","test_privilege_case","",""
"","75","TC-CH-004: 查询个人服务器成员成功","cases.channel","2026-06-01","passed","2026-06-01","TestChannelBusiness","test_channel_case","",""
"验证从忙碌(4)切换到隐身(6)","1499","【场景】SC-STATUS-005: 忙碌→隐身状态切换","cases.wan","2026-06-01","passed","2026-06-01","TestUserStatusSwitch","test_user_status_flow_case","",""
"","60","TC-CH-006: 频道分页查询成功","cases.channel","2026-06-01","passed","2026-06-01","TestChannelBusiness","test_channel_case","",""
"","29","TC-NNORDER-016: 创建多奖励订单失败-商品ID为空","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderMultipleRewards","test_nnorder_case","",""
"","33","TC-WAN-007: 查询热点状态成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanHotPoint","test_wan_case","",""
"验证已登录用户可以查询自身信息","3496","TC-USER-001: 已登录用户查询自身信息成功","cases.user","2026-06-01","passed","2026-06-01","TestUserInfo","test_user_case","",""
"","32","TC-CR-008: 缺少recommendType字段","cases.wan","2026-06-01","passed","2026-06-01","TestClickRecommendMissingField","test_click_recommend_case","",""
"验证用户信息返回完整字段","72","TC-USER-002: 用户信息字段完整性校验","cases.user","2026-06-01","passed","2026-06-01","TestUserInfo","test_user_case","",""
"","33","TC-WAN-009: 查询用户其他信息成功","cases.wan","2026-06-01","passed","2026-06-01","TestWanUserStatus","test_wan_case","",""
"","41","TC-CH-009: 查询DW服务器成功","cases.channel","2026-06-01","passed","2026-06-01","TestChannelBusiness","test_channel_case","",""
"","158","TC-CH-005: 获取热门服务器列表成功","cases.channel","2026-06-01","passed","2026-06-01","TestChannelBusiness","test_channel_case","",""
"","32","TC-RP-003: 数据分析直播报告成功","cases.report","2026-06-01","passed","2026-06-01","TestReportLive","test_report_case","",""
"","33","TC-NNORDER-008: 支付订单失败-订单号为空","cases.nnorder","2026-06-01","passed","2026-06-01","TestNnorderPay","test_nnorder_case","",""
